name,asciiname,country,geonameid
les Escaldes,les Escaldes,Andorra,3040051
Andorra la Vella,Andorra la Vella,Andorra,3041563
Umm Al Quwain City,Umm Al Quwain City,United Arab Emirates,290594
Ras Al Khaimah City,Ras Al Khaimah City,United Arab Emirates,291074
Zayed City,Zayed City,United Arab Emirates,291580
Khawr Fakkān,Khawr Fakkan,United Arab Emirates,291696
Dubai,Dubai,United Arab Emirates,292223
Dibba Al-Fujairah,Dibba Al-Fujairah,United Arab Emirates,292231
Dibba Al-Hisn,Dibba Al-Hisn,United Arab Emirates,292239
Sharjah,Sharjah,United Arab Emirates,292672
Ar Ruways,Ar Ruways,United Arab Emirates,292688
Al Fujairah City,Al Fujairah City,United Arab Emirates,292878
Al Ain City,Al Ain City,United Arab Emirates,292913
Ajman City,Ajman City,United Arab Emirates,292932
Adh Dhayd,Adh Dhayd,United Arab Emirates,292953
Abu Dhabi,Abu Dhabi,United Arab Emirates,292968
Khalifah A City,Khalifah A City,United Arab Emirates,8057551
Bani Yas City,Bani Yas City,United Arab Emirates,12042052
Musaffah,Musaffah,United Arab Emirates,12042053
Al Shamkhah City,Al Shamkhah City,United Arab Emirates,12047416
Reef Al Fujairah City,Reef Al Fujairah City,United Arab Emirates,12047417
Zaranj,Zaranj,Afghanistan,1120985
Bāzār-e Yakāwlang,Bazar-e Yakawlang,Afghanistan,1121381
Taloqan,Taloqan,Afghanistan,1123004
Shīnḏanḏ,Shindand,Afghanistan,1125155
Shibirghān,Shibirghan,Afghanistan,1125444
Shahrak,Shahrak,Afghanistan,1125896
Sar-e Pul,Sar-e Pul,Afghanistan,1127110
Sang-e Chārak,Sang-e Charak,Afghanistan,1127628
Aībak,Aibak,Afghanistan,1127768
Rustāq,Rustaq,Afghanistan,1128265
Qarqīn,Qarqin,Afghanistan,1129516
Qarāwul,Qarawul,Afghanistan,1129648
Pul-e Khumrī,Pul-e Khumri,Afghanistan,1130490
Paghmān,Paghman,Afghanistan,1131316
Nahrīn,Nahrin,Afghanistan,1132495
Maymana,Maymana,Afghanistan,1133453
Mehtar Lām,Mehtar Lam,Afghanistan,1133574
Mazār-e Sharīf,Mazar-e Sharif,Afghanistan,1133616
Lashkar Gāh,Lashkar Gah,Afghanistan,1134720
Kushk,Kushk,Afghanistan,1135158
Kunduz,Kunduz,Afghanistan,1135689
Khōst,Khost,Afghanistan,1136469
Khulm,Khulm,Afghanistan,1136575
Khāsh,Khash,Afghanistan,1136863
Khanabad,Khanabad,Afghanistan,1137168
Karukh,Karukh,Afghanistan,1137807
Kandahār,Kandahar,Afghanistan,1138336
Kabul,Kabul,Afghanistan,1138958
Jalālābād,Jalalabad,Afghanistan,1139715
Jabal os Saraj,Jabal os Saraj,Afghanistan,1139807
Herāt,Herat,Afghanistan,1140026
Ghormach,Ghormach,Afghanistan,1141089
Ghazni,Ghazni,Afghanistan,1141269
Gereshk,Gereshk,Afghanistan,1141540
Gardez,Gardez,Afghanistan,1141857
Fayzabad,Fayzabad,Afghanistan,1142170
Farah,Farah,Afghanistan,1142264
Kafir Qala,Kafir Qala,Afghanistan,1142404
Charikar,Charikar,Afghanistan,1145352
Baraki Barak,Baraki Barak,Afghanistan,1147066
Bāmyān,Bamyan,Afghanistan,1147242
Balkh,Balkh,Afghanistan,1147290
Baghlān,Baghlan,Afghanistan,1147540
Ārt Khwājah,Art Khwajah,Afghanistan,1148106
Āsmār,Asmar,Afghanistan,1148205
Asadābād,Asadabad,Afghanistan,1148311
Andkhōy,Andkhoy,Afghanistan,1148658
Bāzārak,Bazarak,Afghanistan,1429434
Markaz-e Woluswalī-ye Āchīn,Markaz-e Woluswali-ye Achin,Afghanistan,1469706
Saint John’s,Saint John's,Antigua and Barbuda,3576022
The Valley,The Valley,Anguilla,3573374
Sarandë,Sarande,Albania,363243
Pogradec,Pogradec,Albania,781988
Kukës,Kukes,Albania,782661
Korçë,Korce,Albania,782756
Gjirokastër,Gjirokaster,Albania,783148
Elbasan,Elbasan,Albania,783263
Burrel,Burrel,Albania,783493
Vlorë,Vlore,Albania,3183719
Tirana,Tirana,Albania,3183875
Shkodër,Shkoder,Albania,3184081
Patos Fshat,Patos Fshat,Albania,3184517
Patos,Patos,Albania,3184518
Lushnjë,Lushnje,Albania,3184862
Lezhë,Lezhe,Albania,3184935
Laç,Lac,Albania,3185012
Kuçovë,Kucove,Albania,3185060
Krujë,Kruje,Albania,3185082
Kavajë,Kavaje,Albania,3185211
Fier-Çifçi,Fier-Cifci,Albania,3185670
Fier,Fier,Albania,3185672
Durrës,Durres,Albania,3185728
